query_number,join_graph,pattern_desc,recall,precision,fscore,primary_tuple,rank
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.72308,1.0,0.83928,2014-15,5
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.72308,1.0,0.83928,2014-15,5
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_minutes>36.3425,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.70769,1.0,0.82882,2014-15,7
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",0.65672,1.0,0.7928,2013-14,8
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",0.65672,1.0,0.7928,2013-14,8
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2019-04-09,team_4.team=PHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2018-11-09,team_4.team=MIN",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,,"PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2017-04-12,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
